timestamp x y theta
1769097853.807650 0.000000 0.000000 -0.000000
1769097853.867656 0.000000 0.000000 -0.000002
1769097853.912660 0.000000 0.000000 -0.000001
1769097853.952661 0.000000 0.000000 -0.000007
1769097855.447685 0.000000 0.000000 -0.000009
1769097855.492741 -0.000000 0.000000 -0.000008
1769097855.542668 -0.000000 0.000000 -0.000008
1769097855.587675 -0.000000 0.000000 -0.000008
1769097855.632649 -0.000000 0.000000 -0.000008
1769097855.682674 -0.000000 0.000000 -0.000009
1769097855.767657 -0.000000 0.000000 -0.000008
1769097855.882670 -0.000000 0.000000 -0.000008
1769097857.527697 -0.000000 0.000000 -0.000009
1769097857.577655 0.007391 0.000003 0.003596
1769097857.622765 0.007796 0.000005 0.003568
1769097857.667686 0.008150 0.000004 0.003832
1769097857.717699 0.008732 0.000007 0.004460
1769097857.762668 0.009213 0.000010 0.004496
1769097857.892659 0.019489 0.000056 0.006202
1769097859.542696 0.020400 0.000063 0.005798
1769097859.587738 0.057809 0.000235 -0.002088
1769097859.637737 0.060770 0.000222 -0.002261
1769097859.682712 0.063732 0.000209 -0.002030
1769097859.732720 0.068693 0.000207 -0.003166
1769097859.782711 0.072034 0.000190 -0.003288
1769097859.897696 0.122604 0.000185 0.002929
1769097861.502741 0.133007 0.000275 0.001451
1769097861.547742 0.242499 0.000458 0.013574
1769097861.597736 0.246877 0.000491 0.012747
1769097861.642728 0.251154 0.000527 0.012830
1769097861.687731 0.257558 0.000612 0.011709
1769097861.737741 0.257557 0.000646 0.010778
1769097861.782744 0.268112 0.000715 0.009544
1769097861.902720 0.325919 0.001030 0.015188
1769097863.492730 0.332246 0.001185 0.014385
1769097863.542746 0.440844 0.002553 0.017026
1769097863.587730 0.447222 0.002592 0.017434
1769097863.637787 0.451195 0.002700 0.017554
1769097863.682743 0.455523 0.002738 0.017361
1769097863.732765 0.461824 0.002896 0.016716
1769097863.777758 0.466176 0.002973 0.016106
1769097863.907731 0.525448 0.003842 0.015462
1769097865.517742 0.531724 0.003958 0.017394
1769097865.567787 0.649194 -0.008237 0.029779
1769097865.617779 0.653419 -0.008066 0.028729
1769097865.667788 0.653418 -0.008040 0.028762
1769097865.712809 0.663995 -0.007769 0.028887
1769097865.762757 0.668297 -0.007695 0.030280
1769097865.917836 0.728070 -0.006598 0.032950
1769097867.517776 0.732349 -0.006660 0.037150
1769097867.567828 0.840844 -0.010917 0.027423
1769097867.622835 0.847066 -0.010659 0.028116
1769097867.667803 0.851036 -0.010485 0.028189
1769097867.717771 0.855338 -0.010387 0.029479
1769097867.767796 0.861788 -0.010163 0.030432
1769097867.817896 0.865934 -0.009933 0.028449
1769097867.927779 0.920911 -0.008338 0.024691
1769097869.522819 0.925161 -0.008211 0.025537
1769097869.577813 1.046012 -0.014141 0.029242
1769097869.632820 1.050210 -0.013953 0.030457
1769097869.682820 1.056532 -0.013673 0.031912
1769097869.737811 1.060806 -0.013523 0.032288
1769097869.782821 1.065078 -0.013286 0.031581
1769097869.832804 1.071351 -0.013048 0.032193
1769097869.932811 1.126719 -0.010996 0.025137
1769097871.552847 1.130817 -0.010859 0.025895
1769097871.602841 1.241721 -0.014236 0.033353
1769097871.667851 1.245920 -0.014092 0.035461
1769097871.722850 1.250240 -0.013802 0.034507
1769097871.782838 1.256359 -0.013521 0.035977
1769097871.842866 1.260658 -0.013326 0.036555
1769097871.942829 1.316135 -0.010897 0.033281
1769097873.497833 1.320435 -0.010736 0.033618
1769097873.547868 1.430526 -0.010984 0.037743
1769097873.597868 1.434800 -0.010811 0.039552
1769097873.647868 1.438822 -0.010654 0.041040
1769097873.697868 1.445265 -0.010266 0.041185
1769097873.742876 1.449514 -0.010087 0.043381
1769097873.792938 1.453786 -0.009856 0.044468
1769097873.942906 1.515073 -0.006443 0.041031
1769097875.552868 1.519496 -0.006203 0.040551
1769097875.602879 1.638625 -0.009962 0.042877
1769097875.657888 1.642876 -0.009800 0.046034
1769097875.717879 1.647146 -0.009536 0.047384
1769097875.782892 1.653512 -0.009130 0.047470
1769097875.842893 1.657632 -0.008905 0.048222
1769097875.952872 1.717598 -0.004947 0.045775
1769097877.547900 1.721843 -0.004689 0.044178
1769097877.597884 1.833592 -0.005785 0.051541
1769097877.667909 1.842235 -0.005282 0.054763
1769097877.717905 1.848677 -0.004877 0.055103
1769097877.767931 1.852821 -0.004626 0.056481
1769097877.817907 1.857015 -0.004348 0.057594
1769097877.867904 1.863307 -0.003973 0.060319
1769097877.962905 1.916724 0.000018 0.055598
1769097879.552926 1.923091 0.000404 0.055018
1769097879.607932 2.034527 -0.000175 0.058906
1769097879.668026 2.040917 0.000256 0.057728
1769097879.722946 2.045135 0.000532 0.057463
1769097879.778014 2.049405 0.000799 0.058491
1769097879.832947 2.055744 0.001218 0.059630
1769097879.887964 2.059785 0.001494 0.060865
